what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318531655349
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318531795386
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318531800449
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318531857212
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318531864669
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318531866558
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318531877055
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318531945917
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318531948987
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318531951260
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318531961425
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532041647
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532044607
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532045390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532046717
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532349750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532368432
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532455689
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532463477
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532505946
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532528218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532567433
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532595222
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532596414
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532611912
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532615021
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532615899
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532865391
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532866256
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532879361
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532883503
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532888963
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532897019
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532897983
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532899121
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532922010
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318532925965
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532927361
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532936708
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318532938107
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532938239
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532941486
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318532942449
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318532946459
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318532946648
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532947067
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532950918
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532958624
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532982047
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1318532983807
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318532985797
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532990594
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318532991551
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1318533001426
